id,city,postcode,coord_X,coord_Y,dist,bearing,house_state_index,house_quality_index,floors,bedrooms,baths,basement,living_m2,lot_m2,living_vs_neighbors,lot_vs_neighbors,age_since_construction,age_since_renovation,POI_view,view_quality,month,dow,price
1,Springfield,10052,-7388.77161478447,23808.9692871841,24929.118807,-17.240979,Fair,4,2,4,1.75,N,214,1240,0.92,1,81,57,Y,Very Good,12,Thursday,1175247
2,Springfield,10055,-15802.4278068332,19322.7277840801,24961.661275,-39.276835,Fair,5,5,3,2.5,N,149,122,1.16,0.99,10,10,N,Very Poor,12,Thursday,409162
3,Springfield,10038,4861.9295045732,-4589.73742131037,6686.108592,133.350434,Good,5,3,3,2.5,N,195,1661,1.01,1.07,30,30,N,Very Poor,3,Monday,444169
4,Springfield,10038,2901.2120030886,-2834.38821927882,4055.957059,134.332494,Fair,5,3,4,2.5,N,228,442,0.98,1.08,8,7,N,Very Poor,9,Monday,434005
5,Springfield,10040,8002.82987396609,13647.5334912187,15820.886713,30.387098,Fair,6,2,4,3,S,333,958,0.99,0.67,81,9,N,Good,4,Wednesday,790768
6,Springfield,10039,-2667.6310979789,13598.1813223686,13857.373162,-11.099083,Good,6,3,4,3.75,S,301,1013,1.39,0.72,84,25,N,Very Poor,4,Tuesday,1058606
7,Springfield,10014,-414.657884172575,-5647.95062827784,5663.151725,-175.801026,Fair,5,3,3,1.5,N,111,186,0.94,1.08,48,47,N,Very Poor,11,Wednesday,122897
8,Springfield,10004,-13337.3301040692,13968.6039759066,19313.370274,-43.67564,Fair,5,3,3,3.25,S,209,345,1.4,0.77,11,10,N,Very Poor,12,Wednesday,696657
9,Springfield,10001,-11822.9529875356,19669.0853638486,22948.96809,-31.009789,Fair,4,5,3,2.25,N,143,118,1.25,0.87,1,1,N,Very Poor,10,Tuesday,396440
10,Springfield,10026,-14192.5644660127,2151.89622413401,14354.77424,-81.378402,Very Good,3,1,4,1.75,S,144,478,1.44,1,73,73,N,Very Poor,6,Tuesday,349121
11,Springfield,10008,-10247.6177662281,19065.7053165827,21645.20245,-28.257566,Fair,3,2,3,1,N,129,446,0.8,1.2,106,105,N,Very Poor,7,Thursday,299137
12,Springfield,10008,-9871.04103877868,19776.6360849475,22103.230217,-26.524994,Good,4,1,2,1,N,117,504,1.01,1,93,93,N,Very Poor,10,Monday,450960
13,Springfield,10035,-11149.3507523,-20924.4476374897,23709.502971,-151.949592,Fair,4,1,3,1.5,N,90,779,0.79,1,48,47,N,Very Poor,10,Monday,136033
14,Springfield,10044,-8607.22930351766,11446.9651616901,14321.920531,-36.940325,Fair,5,3,3,2,S,130,154,0.91,0.73,11,11,N,Very Poor,2,Thursday,501150
15,Springfield,10004,-14087.6259210204,14426.2211844765,20163.756142,-44.319658,Fair,5,3,3,2.5,S,266,418,1.24,1,100,100,N,Fair,10,Tuesday,1078152
16,Springfield,10042,-8544.31241936117,3063.72457865163,9076.98645,-70.273746,Very Good,4,1,4,2,N,135,507,1.48,0.89,64,64,N,Very Poor,7,Thursday,345702
17,Springfield,10049,-3864.33991586028,22037.7219026133,22373.964996,-9.945766,Fair,5,1,4,2.75,S,194,895,1.11,1.01,37,37,N,Very Poor,12,Friday,384881
18,Springfield,10049,-2588.06979159619,23526.8927384508,23668.814655,-6.277567,Fair,4,1,4,2.5,S,179,747,0.93,1.12,37,37,N,Very Poor,4,Tuesday,451224
19,Springfield,10055,-14823.3648751993,20554.3067869741,25341.895622,-35.798407,Good,5,1,3,1.5,N,150,695,0.66,0.96,65,64,N,Fair,10,Friday,684407
20,Springfield,10007,-3647.94918639412,8095.16121348435,8879.14232,-24.257913,Good,4,1,3,2.5,N,136,820,0.67,1,60,60,N,Very Poor,12,Tuesday,604381
21,Springfield,10024,-6286.63396895995,2382.65470570691,6723.006032,-69.243129,Fair,3,1,2,1,N,73,391,0.48,0.7,96,96,N,Very Poor,7,Tuesday,317352
22,Springfield,10007,-5002.10304427949,7773.73504619296,9244.024634,-32.759741,Very Good,4,1,3,1.5,N,128,419,0.86,0.5,55,55,N,Very Poor,7,Thursday,572625
23,Springfield,10019,-15551.927703968,609.927753229342,15563.883422,-87.75408,Fair,5,3,2,2.75,S,125,116,0.95,0.98,9,9,N,Very Poor,7,Thursday,356370
24,Springfield,10042,-10048.024709835,4166.81449137328,10877.736142,-67.476708,Good,4,2,3,2,N,131,399,0.85,0.99,114,113,N,Very Poor,4,Monday,364057
25,Springfield,10053,-489.230859725929,4147.08211461112,4175.839664,-6.728081,Fair,6,3,4,3.75,N,305,558,1.13,0.59,1,1,N,Very Poor,1,Friday,818479
26,Springfield,10008,-8070.87074674323,18773.2044797778,20434.582478,-23.263565,Fair,4,1,3,1.75,S,156,318,1,0.84,23,23,N,Very Poor,3,Monday,418439
27,Springfield,10049,-4315.44480232318,20837.2438595551,21279.421879,-11.700683,Good,6,1,4,2.25,S,234,1825,1.03,1.02,39,39,N,Very Poor,3,Friday,519733
28,Springfield,10012,3867.8915458573,16689.7576383978,17132.092547,13.048089,Fair,5,3,3,2.5,S,200,268,1.01,1.14,9,9,N,Very Poor,2,Thursday,588315
29,Springfield,10050,-37.5468365883633,17522.3540844338,17522.394312,-0.122773,Fair,5,1,3,2.5,S,195,519,1.03,0.6,1,0,N,Very Poor,8,Tuesday,530067
30,Springfield,10016,-13533.1971087352,-5754.63383125021,14705.89115,-113.036339,Very Good,3,1,3,1.75,S,172,639,1,0.68,97,82,N,Fair,6,Friday,405331
31,Springfield,10005,4321.18948488527,13087.7286166836,13782.64557,18.271729,Fair,4,1,3,1.5,N,168,936,1.12,1,61,61,N,Very Poor,8,Monday,514015
32,Springfield,10039,-3344.90735445988,11897.4278004733,12358.688987,-15.703085,Good,8,1,4,2.25,N,272,1901,0.95,1,50,50,N,Very Poor,8,Friday,1456117
33,Springfield,10032,-3051.69250891862,-2389.58984696629,3875.947214,-128.062278,Good,4,1,4,1,S,135,556,1.22,1,73,72,N,Very Poor,7,Wednesday,210376
34,Springfield,10025,-12492.0789361334,22683.5936149575,25895.896498,-28.842011,Fair,3,1,2,1,N,80,672,0.68,1,65,64,N,Very Poor,8,Monday,267792
35,Springfield,10040,9361.80534915116,9669.19946650324,13458.707877,44.074623,Fair,7,3,4,2.75,N,346,742,1.01,0.96,2,1,N,Very Poor,6,Friday,811527
36,Springfield,10056,-6687.95707031746,-19474.7915346234,20591.169833,-161.046703,Fair,4,1,3,2,N,130,849,0.69,1.07,40,39,N,Very Poor,11,Wednesday,204192
37,Springfield,10007,-2596.22733401426,5181.6283287068,5795.659454,-26.612916,Good,6,3,5,2.25,N,271,888,1.06,1,48,48,N,Very Poor,8,Monday,768465
38,Springfield,10049,-5515.08347965677,22083.525167652,22761.771232,-14.022085,Good,6,1,4,3,S,263,1255,1,0.8,40,39,N,Fair,8,Thursday,666325
39,Springfield,10052,-8518.09881918143,20986.413642169,22649.228796,-22.091562,Good,4,2,4,2.5,S,212,1328,1.07,1.45,73,73,N,Very Poor,12,Thursday,547603
40,Springfield,10045,11062.2722339047,-14820.9382619822,18494.163348,143.262529,Fair,6,3,4,3.25,N,213,445,1,1,8,8,N,Very Poor,10,Wednesday,316652
41,Springfield,10019,-16144.5050945621,4202.70730893849,16682.55956,-75.408712,Fair,5,3,3,2.25,S,192,262,1.07,0.74,48,47,N,Fair,12,Friday,592076
42,Springfield,10008,-10250.2597979372,17564.7212111723,20336.844818,-30.266591,Very Good,4,1,4,1.75,S,218,474,1.85,1.56,92,92,N,Very Poor,10,Wednesday,503917
43,Springfield,10045,11742.0205277879,-14897.4429845039,18968.628141,141.755163,Fair,4,3,3,2.5,N,158,624,0.78,0.91,19,19,N,Very Poor,9,Friday,295610
44,Springfield,10054,-11935.2335352039,1446.41086876565,12022.558128,-83.090117,Good,6,3,4,2.25,N,237,712,1,1,20,20,N,Fair,1,Friday,409768
45,Springfield,10014,-1772.15706796194,-7093.03474975625,7311.065766,-165.972132,Good,4,1,3,2,N,141,805,0.77,1.14,44,43,N,Very Poor,6,Tuesday,205781
46,Springfield,10051,-10308.2225371938,-15422.6744029504,18550.426885,-146.241985,Good,5,1,2,1,N,86,217,0.7,0.82,36,36,N,Very Poor,9,Tuesday,155107
47,Springfield,10049,-2888.87545191222,22037.1563143003,22225.702684,-7.468381,Fair,5,1,3,1.75,S,194,828,0.9,0.83,40,40,N,Very Poor,4,Tuesday,472469
48,Springfield,10002,7282.52113420766,-11413.656812366,13539.079581,147.459955,Fair,7,3,4,3.25,N,349,90981,1.64,26.36,22,21,N,Very Poor,9,Friday,874694
49,Springfield,10054,-12987.3740929492,2382.57763346632,13204.111557,-79.604488,Fair,4,1,5,3,S,199,568,1.08,1.01,12,12,N,Very Poor,2,Monday,369027
50,Springfield,10025,-11143.6939292785,21580.1249718631,24287.521656,-27.311238,Fair,5,5,3,2.5,N,153,166,1,0.96,8,8,N,Very Poor,7,Monday,325266
51,Springfield,10027,-13126.1014368649,-26056.7505118278,29176.16812,-153.263296,Fair,4,3,4,2.5,N,188,475,0.88,0.9,5,5,N,Very Poor,1,Friday,281076
52,Springfield,10050,-112.694223928891,14764.9982455008,14765.42831,-0.437303,Fair,7,3,4,2.5,N,295,4420,1,1.35,27,27,N,Very Poor,12,Monday,911887
53,Springfield,10007,-3049.79162987223,1257.14050868881,3298.731763,-67.59828,Good,5,1,5,2.75,S,234,1497,0.91,0.95,55,55,N,Good,6,Monday,788975
54,Springfield,10011,5550.86686527801,-15729.2806119835,16679.999746,160.562051,Fair,2,1,2,1,N,85,27467,0.45,6.11,62,62,N,Very Poor,8,Friday,468754
55,Springfield,10008,-8444.06607590689,20285.8422831449,21973.111956,-22.599723,Fair,5,1,3,1.5,S,227,535,1.13,0.84,76,76,N,Very Poor,3,Tuesday,770688
56,Springfield,10054,-12762.2106707539,2059.65518484425,12927.343141,-80.832253,Fair,4,1,3,1.75,S,152,373,1.26,1,48,48,N,Very Poor,10,Tuesday,251928
57,Springfield,10005,5981.57406863973,6195.86843673983,8612.085347,43.991833,Fair,7,4,4,4,S,407,763,1.64,0.96,9,9,Y,Very Good,4,Friday,2031915
58,Springfield,10046,11149.7838102331,18400.2547995822,21514.810148,31.214108,Fair,4,3,3,2.5,N,133,283,0.87,1,11,10,N,Very Poor,10,Wednesday,369016
59,Springfield,10025,-11658.3681280948,26873.5593636545,29293.441933,-23.452309,Fair,5,1,3,2,S,163,859,1.02,1.17,26,26,N,Very Poor,4,Tuesday,369638
60,Springfield,10035,-9725.84044166553,-28609.2897754187,30217.270455,-161.224333,Fair,4,1,2,2,S,117,943,0.81,0.99,31,30,N,Very Poor,11,Thursday,201421
61,Springfield,10023,-37.7698243744513,-17099.3940293027,17099.435743,-179.873443,Fair,4,3,4,2.5,N,197,627,1,0.97,17,17,N,Very Poor,1,Wednesday,241881
62,Springfield,10006,-16413.2671434956,15677.5633968287,22697.606314,-46.313314,Fair,4,1,2,1,N,81,296,0.46,0.53,104,44,N,Very Poor,9,Wednesday,363485
63,Springfield,10040,8979.80301750528,13582.2453956423,16282.329447,33.470395,Fair,6,3,4,2.5,N,319,697,1.12,0.93,14,14,N,Very Poor,11,Wednesday,742507
64,Springfield,10007,-2370.55409462809,4970.28702081983,5506.657769,-25.49858,Fair,7,3,3,3.5,S,392,1997,1.35,1.31,20,19,N,Very Poor,12,Friday,1220779
65,Springfield,10045,9705.73055744016,-16424.3061484788,19077.710505,149.419587,Fair,6,1,3,2,S,247,1548,1,1.47,25,25,N,Very Poor,3,Thursday,382282
66,Springfield,10052,-9417.66456841561,21621.5519860994,23583.551815,-23.536419,Fair,4,1,4,1.75,S,148,686,0.97,0.98,41,40,N,Very Poor,4,Wednesday,460936
67,Springfield,10023,1094.9964953557,-15342.6785277688,15381.703473,175.917761,Fair,4,1,3,2,N,120,1240,1,1.08,38,38,N,Very Poor,4,Thursday,225451
68,Springfield,10006,-16343.198975562,13876.1848627693,21439.418348,-49.667095,Fair,4,1,3,1,S,105,533,0.75,0.96,75,74,N,Very Poor,10,Tuesday,425296
